KT3D ESTIMATES WITH:  pygeostat_saved_data                                      
 2   51   59    1  5.5000000      5.5000000      .50000000      5.00000      5.00000      1.00000       1
Estimate
EstimationVariance
 1.3655780      .27539270    
 .47834350      .66965450E-01
 .90123460E-01  .14254020    
 .59513360E-01  .24905460    
 1.6735660      .23573880    
 1.8274990      .13360770    
 2.8189220      .12189090    
 5.3430730      .10376650    
 11.711920      .96594100E-01
 17.440880      .84694620E-01
 18.014690      .70466500E-01
 15.708980      .45652860E-01
 13.100990      .11749080    
 12.733340      .76030320E-01
 12.127110      .13392960    
 12.000270      .20997280    
 11.827770      .20723120    
 10.778190      .13216750    
 9.5739310      .15665890    
 9.4604780      .22912180    
 10.094440      .19241040    
 10.983630      .11910910    
 11.476640      .20248810    
 12.257530      .25431310    
 13.321010      .19164750    
 14.843610      .73755690E-01
 12.847970      .15914530    
 10.419610      .20392760    
 8.6360990      .11117460    
 7.9477890      .77670020E-01
 9.8314970      .20518230    
 11.212850      .22259510    
 11.815050      .11428600    
 11.441150      .79630320E-01
 10.105880      .22078550    
 9.3885200      .27251830    
 9.1847020      .22381750    
 9.5925710      .12443490    
 9.6635270      .18420680    
 9.6493420      .26194920    
 9.9624430      .23831420    
 11.570270      .12928780    
 15.812030      .73449800E-01
 18.391240      .49318700E-01
 16.992760      .71717250E-01
 16.351680      .83278270E-01
 13.351560      .57241470E-01
 7.2873310      .50543870E-01
 5.6281080      .10651830    
 4.3589520      .76762290E-01
 3.6615880      .23654330    
 .46755680      .20261030    
-.58440670E-01  .44815590E-01
-.13266710      .15967850    
-.21435450      .23101720    
 1.0546880      .17655960    
 .99731990      .29569500E-01
 1.7336670      .76633920E-01
 4.2469930      .21315410E-01
 12.367230      .19791380E-01
 16.759800      .19245190E-01
 14.885720      .24936290E-01
 11.453270      .38945910E-01
 9.7850750      .94626880E-01
 10.316210      .26563040E-01
 10.443620      .11289080    
 11.795160      .14957370    
 11.948340      .13699190    
 10.256410      .28639340E-01
 8.7828050      .13006030    
 8.9297720      .19206380    
 10.087420      .11151440    
 10.825190      .41670520E-01
 10.923130      .18312720    
 11.455480      .21740710    
 12.823850      .13148870    
 13.736140      .37366090E-01
 10.831150      .15843290    
 8.6535130      .17455810    
 7.2135340      .68632270E-01
 7.6377520      .98660860E-01
 9.7611560      .19570290    
 11.091310      .18701170    
 11.518620      .70564260E-01
 10.551140      .10174750    
 9.1309240      .20965050    
 8.7469310      .23086660    
 8.6815260      .14842890    
 9.2811540      .27566260E-01
 9.0691530      .16062920    
 8.9530770      .22574290    
 9.1161490      .17387410    
 10.253050      .28459340E-01
 16.200000      .15052870E-01
 18.728300      .27662410E-01
 18.352110      .50097680E-01
 16.734760      .18963300E-01
 12.887660      .19929510E-01
 7.4131280      .45192570E-01
 5.8635600      .66770520E-01
 4.3190710      .58837960E-01
 3.6798200      .23675800    
 .12573480      .18678580    
-.17572440      .11543100    
-.26755700      .18434970    
 .48158430E-01  .21936010    
 .26813220      .14882430    
 .70044480      .66855800E-01
 1.3413020      .82535410E-01
 4.1973970      .44474720E-01
 10.214130      .42583550E-01
 10.814910      .25943890E-01
 8.5418810      .55999820E-01
 5.7955570      .53261290E-01
 6.3735360      .88491220E-01
 6.4264200      .54713320E-01
 9.8626260      .84505580E-01
 12.785170      .82022590E-01
 12.475760      .10283960    
 9.5658690      .66794750E-01
 7.8074970      .14257250    
 8.7182800      .17078010    
 10.304620      .99636380E-01
 10.454900      .10048660    
 9.8880090      .18092610    
 10.229410      .19655780    
 11.132040      .13627900    
 10.584510      .11633530    
 8.2551130      .16843930    
 6.7486280      .16691910    
 6.8293280      .11869670    
 7.9714960      .14160220    
 9.7273020      .18558030    
 10.759020      .17840770    
 10.461850      .12612210    
 9.3246300      .14949200    
 8.1471330      .19113900    
 8.0924220      .19962560    
 8.2511070      .12469680    
 8.4506480      .78453520E-01
 8.2350230      .15888850    
 8.1595460      .20017400    
 8.3179960      .14361560    
 9.0859880      .54298420E-01
 13.890370      .23875200E-01
 20.629780      .36329080E-01
 20.274560      .37942440E-01
 15.306090      .32476180E-01
 11.761580      .56759830E-01
 8.8689840      .37718360E-01
 6.1909340      .90346750E-01
 4.4089750      .12857680    
 4.1360130      .23769900    
-.40890850E-01  .18240920    
-.20658770      .12774470    
-.13101070      .18779880    
 .31795610      .21164830    
 .63872460      .14879760    
 1.0321890      .93903530E-01
 1.6053160      .93027620E-01
 3.4332810      .22635270E-01
 6.5417340      .68965130E-01
 5.4232080      .31312700E-01
 3.5971550      .58759420E-01
 2.5082360      .31780000E-01
 4.3995920      .76810640E-01
 4.7020940      .20049620E-01
 12.202860      .40472630E-01
 15.116710      .51894940E-01
 13.034400      .94774680E-01
 8.3982270      .96332440E-01
 6.7135620      .13351400    
 9.0484100      .16112370    
 10.993750      .13166700    
 9.8072710      .13264720    
 8.4931090      .16237350    
 8.7531720      .19000520    
 8.8700180      .16670270    
 7.3479540      .14361780    
 5.8313630      .15481180    
 5.5563320      .17104320    
 6.7282430      .14733220    
 8.1852700      .12734270    
 9.4381020      .16928150    
 10.178460      .19008150    
 9.4129750      .16772160    
 7.9250300      .14084540    
 7.0871240      .15388490    
 7.3075640      .18524590    
 7.5203370      .14526250    
 7.4841530      .10363060    
 7.4026170      .13835750    
 7.5891010      .18629970    
 7.9873470      .14374410    
 8.2499130      .64175670E-01
 13.686170      .23734190E-01
