KT3D ESTIMATES WITH:  pygeostat_saved_data                                      
 2   51   59    1  5.5000000      5.5000000      .50000000      5.00000      5.00000      1.00000       1
Estimate
EstimationVariance
 3.2034060      .27430320    
 1.0712100      .66647040E-01
 .21449430      .14228410    
 .33515280      .24750180    
 .96002250      .23514720    
 1.6355560      .13524530    
 3.4270270      .15360580    
 6.6807320      .21677960    
 11.578580      .18250250    
 16.071260      .11910300    
 15.612170      .20378190    
 13.858320      .26184680    
 13.059870      .21435800    
 12.580070      .86336280E-01
 13.036370      .14382660    
 13.323930      .24401270    
 12.368940      .23366530    
 10.718730      .13703060    
 8.8954660      .17989410    
 7.9740220      .34530510    
 8.2079070      .49732110    
 6.5973320      .62106490    
 6.8700780      .70740340    
 7.1735530      .74654920    
 6.9657930      .73826550    
 7.1589650      .67308910    
 8.2191800      .54691840    
 7.8558280      .36306000    
 7.5691700      .13703870    
 7.3797590      .87231640E-01
 7.7642980      .30607220    
 7.9711280      .50242120    
 8.2148690      .64547510    
 8.3456830      .72916240    
 8.3693260      .75309060    
 8.7994630      .72247860    
 9.0922530      .65497290    
 9.4871860      .57698120    
 10.104990      .52490480    
 10.962920      .52231470    
 12.050800      .54780110    
 13.817900      .55846760    
 15.743880      .52192550    
 17.756580      .43789350    
 19.666000      .34560660    
 20.316970      .33729840    
 19.632460      .44132410    
 18.293340      .58615190    
 17.196280      .72423690    
 15.632030      .83830430    
 14.158790      .92294170    
 1.4882120      .20294060    
-.96699490E-01  .44790850E-01
-.45939980      .15917690    
 .16604720      .22960390    
 .58396110      .17594020    
 1.0266660      .29988550E-01
 3.1090940      .12294050    
 6.4022720      .16246340    
 12.090480      .93680710E-01
 16.222110      .41388240E-01
 13.852280      .18183670    
 12.269790      .22036690    
 11.846680      .15149840    
 12.193390      .30937300E-01
 13.601990      .14567680    
 13.788730      .21817960    
 12.248010      .17170380    
 10.110680      .30137430E-01
 7.8807010      .15627630    
 7.4025950      .33122470    
 8.1799960      .48247170    
 7.0888090      .60548940    
 7.4102390      .68957080    
 7.4782730      .72362070    
 7.2957000      .70780400    
 7.5909160      .63294020    
 8.3285180      .49727630    
 7.9149160      .30453310    
 7.5905510      .86958940E-01
 7.5028250      .13625290    
 7.8947780      .35978300    
 8.0706940      .54014580    
 8.2724380      .66273640    
 8.6481600      .72206970    
 8.6431090      .71914340    
 8.6969980      .66092990    
 8.7862060      .56592440    
 9.1163540      .46648150    
 9.4190650      .41487170    
 10.150620      .43775820    
 11.735730      .48763640    
 13.934310      .50086900    
 16.097980      .44883480    
 18.603390      .33345920    
 20.622080      .21337260    
 20.962200      .24988030    
 19.759410      .41446860    
 18.199800      .58604040    
 16.595590      .73300300    
 14.528190      .84899770    
 12.996530      .93232170    
 .74235590      .18723190    
-.58594410      .11530090    
-.55377810      .18366350    
 .18105040      .21793850    
 .46189870      .14830170    
 1.1088070      .68661760E-01
 2.8384860      .12594510    
 5.4233950      .98271590E-01
 10.522930      .62537000E-01
 12.641820      .92286140E-01
 11.131080      .17307010    
 10.517990      .18210200    
 10.952670      .12569790    
 12.660630      .95386980E-01
 14.616960      .15990000    
 14.288050      .19801040    
 11.871030      .14427280    
 8.8029830      .71899080E-01
 6.6046960      .17380180    
 7.0900340      .32456480    
 8.5283570      .47284450    
 8.0933640      .59762760    
 7.9400070      .67360180    
 7.9436810      .70413080    
 7.7826450      .68340270    
 8.0173100      .60517310    
 8.0909420      .47205280    
 8.1967530      .30125910    
 7.9054800      .17948100    
 7.9315440      .26461000    
 7.9968910      .43963370    
 8.4669850      .58717910    
 8.6480240      .68095130    
 8.6871420      .71247030    
 8.6085010      .68046410    
 8.6734200      .59357260    
 8.4263890      .46787320    
 8.3996000      .34254220    
 8.4564190      .30165580    
 9.6783870      .36862880    
 11.661590      .44127490    
 13.944110      .45226310    
 16.593230      .38155330    
 19.401740      .23003080    
 21.616140      .76988360E-01
 20.912140      .21243380    
 19.221360      .42327330    
 17.145760      .60468420    
 15.396130      .75141490    
 13.786900      .86336580    
 12.319310      .94257550    
 .20547110      .18207470    
-.47776460      .12754660    
-.64568670E-01  .18709110    
 .47549660      .21040110    
 .72447940      .14826410    
 1.4477160      .96640220E-01
 2.4527330      .10960270    
 3.8098050      .25840850E-01
 7.7179890      .82352670E-01
 8.5716400      .10721960    
 8.3710310      .14816130    
 8.8781930      .13325100    
 10.337110      .10918950    
 13.702270      .10937100    
 15.942580      .14324430    
 14.656870      .18220260    
 11.189210      .15003470    
 7.0081150      .10809820    
 5.4131560      .16686360    
 7.2848730      .31896520    
 8.0675240      .47006790    
 8.9268550      .58642850    
 8.6547980      .66017540    
 8.4664780      .68868530    
 8.3742640      .66796690    
 8.5836560      .59425100    
 8.5838130      .47775350    
 8.6307870      .35276970    
 8.3701010      .30567480    
 8.4061920      .38933850    
 8.4960970      .52233880    
 8.7208400      .63380480    
 8.8229300      .69596860    
 8.9615400      .69812390    
 8.6953050      .63864530    
 8.2216830      .52391230    
 7.6685770      .36435050    
 7.3004280      .20562440    
 7.8049060      .20225690    
 9.4143330      .32709880    
 11.583280      .41354370    
 14.043190      .41674640    
 16.841610      .33009060    
 19.745400      .15920540    
 21.549440      .43843720E-01
 19.979710      .25236170    
 18.088820      .46163990    
 16.248680      .63533900    
 14.509300      .77454750    
 12.949100      .87936520    
 11.582840      .95292650    
-.25998930      .14085320    
-.11637810      .85988250E-01
